Size,Algorithm,Success Rate (%),Avg Time (s),Std Time (s),Avg Steps,Std Steps
4,Simulated Annealing,100.0,0.0010013580322265625,0.0,161.93333333333334,137.7659690279941
4,Hill Climbing,40.0,0.0010013580322265625,0.0,2.3,0.7371114795831993
4,Genetic Algorithm,96.66666666666667,0.0010013580322265625,0.0,342.56666666666666,1793.3536309260244
4,CSP Backtracking,100.0,0.0,0.0,9.0,0.0
4,CSP Forward Checking,100.0,3.3346811930338543e-05,0.00017957807803739212,9.0,0.0
8,Simulated Annealing,96.66666666666667,0.0,0.0,1242.6666666666667,1670.6948122130373
8,Hill Climbing,10.0,0.0,0.0,4.0,0.9309493362512627
8,Genetic Algorithm,100.0,0.0,0.0,664.2,892.3681377847
8,CSP Backtracking,100.0,0.00036673545837402345,0.00048198491990974617,114.0,0.0
8,CSP Forward Checking,100.0,0.00030007362365722654,0.00045837006869326515,114.0,0.0
10,Simulated Annealing,96.66666666666667,0.0,0.0,2698.8333333333335,2621.2728979554104
10,Hill Climbing,6.666666666666667,0.0,0.0,5.0,1.0645812948447542
10,Genetic Algorithm,100.0,0.0,0.0,2528.4,2180.664067052359
10,CSP Backtracking,100.0,0.0004333655039469401,0.0004955725722336219,103.0,0.0
10,CSP Forward Checking,100.0,0.00033344427744547525,0.00047156146385908385,103.0,0.0
